weeks,days,numeric,f10,m10,u10
22,4,22.57,428,446,437
22,5,22.71,433,453,443
22,6,22.86,438,460,449
23,0,23,444,467,456
23,1,23.14,450,474,462
23,2,23.29,455,481,468
23,3,23.43,461,488,475
23,4,23.57,468,495,482
23,5,23.71,474,503,489
23,6,23.86,481,510,496
24,0,24,487,517,502
24,1,24.14,494,525,510
24,2,24.29,501,533,517
24,3,24.43,509,540,525
24,4,24.57,516,548,532
24,5,24.71,523,556,540
24,6,24.86,530,564,547
25,0,25,537,572,555
25,1,25.14,545,580,563
25,2,25.29,552,589,571
25,3,25.43,559,597,578
25,4,25.57,567,605,586
25,5,25.71,574,614,594
25,6,25.86,582,623,603
26,0,26,589,631,610
26,1,26.14,597,640,619
26,2,26.29,605,649,627
26,3,26.43,613,659,636
26,4,26.57,621,668,645
26,5,26.71,629,678,654
26,6,26.86,637,688,663
27,0,27,646,698,672
27,1,27.14,655,708,682
27,2,27.29,664,718,691
27,3,27.43,673,729,701
27,4,27.57,683,740,712
27,5,27.71,692,752,722
27,6,27.86,703,763,733
28,0,28,713,775,744
28,1,28.14,724,788,756
28,2,28.29,735,800,768
28,3,28.43,747,813,780
28,4,28.57,758,827,793
28,5,28.71,771,841,806
28,6,28.86,784,855,820
29,0,29,797,870,834
29,1,29.14,811,885,848
29,2,29.29,825,901,863
29,3,29.43,840,917,879
29,4,29.57,855,934,895
29,5,29.71,871,951,911
29,6,29.86,887,969,928
30,0,30,904,987,946
30,1,30.14,922,1006,964
30,2,30.29,940,1026,983
30,3,30.43,959,1046,1003
30,4,30.57,979,1067,1023
30,5,30.71,999,1088,1044
30,6,30.86,1020,1111,1066
31,0,31,1041,1133,1087
31,1,31.14,1064,1157,1111
31,2,31.29,1086,1181,1134
31,3,31.43,1110,1205,1158
31,4,31.57,1134,1231,1183
31,5,31.71,1159,1256,1208
31,6,31.86,1184,1283,1234
32,0,32,1209,1309,1259
32,1,32.14,1236,1337,1287
32,2,32.29,1263,1364,1314
32,3,32.43,1290,1392,1341
32,4,32.57,1318,1421,1370
32,5,32.71,1346,1450,1398
32,6,32.86,1374,1480,1427
33,0,33,1403,1509,1456
33,1,33.14,1433,1540,1487
33,2,33.29,1463,1570,1517
33,3,33.43,1493,1601,1547
33,4,33.57,1524,1632,1578
33,5,33.71,1554,1663,1609
33,6,33.86,1585,1695,1640
34,0,34,1617,1726,1672
34,1,34.14,1649,1757,1703
34,2,34.29,1680,1790,1735
34,3,34.43,1712,1823,1768
34,4,34.57,1745,1855,1800
34,5,34.71,1777,1887,1832
34,6,34.86,1809,1920,1865
35,0,35,1842,1952,1897
35,1,35.14,1874,1984,1929
35,2,35.29,1907,2017,1962
35,3,35.43,1940,2049,1995
35,4,35.57,1972,2081,2027
35,5,35.71,2005,2113,2059
35,6,35.86,2037,2145,2091
36,0,36,2069,2177,2123
36,1,36.14,2101,2208,2155
36,2,36.29,2133,2239,2186
36,3,36.43,2165,2270,2218
36,4,36.57,2196,2301,2249
36,5,36.71,2227,2332,2280
36,6,36.86,2258,2362,2310
37,0,37,2288,2392,2340
37,1,37.14,2318,2422,2370
37,2,37.29,2348,2451,2400
37,3,37.43,2377,2481,2429
37,4,37.57,2405,2510,2458
37,5,37.71,2433,2539,2486
37,6,37.86,2460,2568,2514
38,0,38,2487,2596,2542
38,1,38.14,2514,2625,2570
38,2,38.29,2542,2653,2598
38,3,38.43,2565,2682,2624
38,4,38.57,2590,2710,2650
38,5,38.71,2615,2738,2677
38,6,38.86,2639,2766,2703
39,0,39,2662,2794,2728
39,1,39.14,2686,2822,2754
39,2,39.29,2709,2850,2780
39,3,39.43,2732,2878,2805
39,4,39.57,2755,2906,2831
39,5,39.71,2777,2934,2856
39,6,39.86,2800,2962,2881
40,0,40,2822,2990,2906
40,1,40.14,2845,3018,2932
40,2,40.29,2868,3046,2957
40,3,40.43,2891,3075,2983
40,4,40.57,2914,3103,3009
40,5,40.71,2937,3131,3034
40,6,40.86,2960,3160,3060
41,0,41,2984,3189,3087
41,1,41.14,3008,3217,3113
41,2,41.29,3032,3246,3139
41,3,41.43,3056,3275,3166
41,4,41.57,3080,3304,3192
41,5,41.71,3104,3333,3219
41,6,41.86,3129,3362,3246
42,0,42,3154,3391,3273
42,1,42.14,3178,3420,3299
42,2,42.29,3203,3450,3327
42,3,42.43,3228,3479,3354
42,4,42.57,3253,3508,3381
42,5,42.71,3279,3537,3408
42,6,42.86,3304,3567,3436
43,0,43,3329,3596,3463
43,1,43.14,3355,3625,3490
43,2,43.29,3380,3655,3518
43,3,43.43,3406,3684,3545
43,4,43.57,3431,3714,3573
43,5,43.71,3457,3743,3600
43,6,43.86,3483,3772,3628
44,0,44,3508,3802,3655
44,1,44.14,3534,3831,3683
44,2,44.29,3560,3861,3711
44,3,44.43,3585,3890,3738
44,4,44.57,3611,3920,3766
44,5,44.71,3637,3949,3793
44,6,44.86,3663,3979,3821
45,0,45,3688,4008,3848
